t1,t2,d,k,approximation,fpt,approximation_time,fpt_time
"[9, 15, 10, 24, 6, 21, 12, 13, 4, 17, 19, 0, 25, 23, 4, 20, 25, 23, 10, 14, 8, 25, 19, 18, 14, None, 0, 15, 24, 17]","[9, 15, 10, 24, 6, 28, 12, 13, 4, 17, 19, 12, 25, 23, 4, 20, 10, 23, 10, 14, 8, 0, 19, 18, 14, None, 25, 15, 24, 17]",4,4,10,4,0.0005474030040204525,3952.559665747918
"[24, 20, 0, 16, 19, 2, 9, 5, 4, 24, 0, 6, 5, 20, 5, 13, 28, 29, 26, 12, 25, 0, 2, 22, None, 10, 10, 11, 9, 11]","[24, 20, 11, 16, 19, 18, 9, 5, 4, 24, 0, 6, 5, 20, 5, 13, 28, 2, 26, 12, 25, 0, 15, 22, None, 10, 10, 11, 9, 0]",4,4,7,3,0.000534930033609271,6.830381270963699
"[4, 2, 13, 25, 13, 12, 10, 29, 12, 0, None, 24, 10, 20, 26, 3, 18, 19, 24, 7, 19, 13, 3, 6, 14, 26, 5, 19, 6, 22]","[4, 2, 13, 25, 13, 12, 10, 29, 5, 0, None, 24, 10, 8, 17, 3, 18, 5, 24, 7, 19, 13, 3, 6, 14, 17, 19, 19, 15, 22]",4,4,15,4,0.0005592561792582273,3975.1613979400136
"[1, 14, 29, 26, 20, 25, 9, 17, 27, 18, 27, 16, 24, None, 10, 8, 19, 19, 4, 23, 3, 20, 12, 13, 4, 19, 25, 25, 25, 9]","[20, 14, 29, 4, 1, 25, 9, 22, 27, 18, 27, 16, 24, None, 10, 8, 19, 12, 0, 23, 3, 20, 19, 13, 15, 19, 25, 25, 25, 9]",4,4,15,4,0.0005407209973782301,3968.104630676098
"[7, 19, 24, 14, 24, 7, 10, 8, 1, 13, 12, 26, 21, 4, 15, 19, 29, 7, 7, 12, 29, 29, 2, 19, 16, 7, 20, 23, 14, None]","[22, 19, 24, 14, 24, 22, 10, 2, 1, 13, 12, 26, 21, 4, 15, 19, 29, 22, 14, 12, 29, 29, 8, 8, 16, 22, 20, 23, 22, None]",4,4,14,3,0.0005194919649511576,6.783054226078093
"[14, 23, 0, 8, 8, 1, 18, 25, 29, 7, 2, 28, None, 25, 18, 4, 7, 23, 4, 12, 3, 12, 4, 15, 4, 0, 0, 19, 22, 27]","[14, 23, 11, 29, 29, 1, 12, 25, 27, 7, 2, 28, None, 25, 24, 4, 7, 23, 4, 12, 3, 24, 4, 15, 4, 0, 0, 19, 22, 8]",4,4,13,4,0.0005118059925734997,4024.340294121066
"[15, 14, 24, 1, 25, 8, None, 4, 20, 23, 15, 20, 18, 20, 19, 28, 7, 8, 2, 8, 21, 6, 11, 10, 5, 8, 11, 23, 16, 5]","[15, 14, 24, 1, 25, 7, None, 4, 20, 23, 15, 20, 18, 20, 19, 28, 7, 8, 2, 8, 21, 6, 11, 10, 26, 8, 20, 7, 16, 26]",4,4,12,4,0.0005582040175795555,3948.1676646168344
"[16, 26, 19, 29, 21, 17, 22, 2, 23, 21, 23, 0, 16, 17, 11, 26, 8, 7, 5, 6, 2, 1, 24, None, 28, 15, 14, 29, 14, 12]","[16, 22, 28, 29, 21, 17, 26, 2, 23, 21, 23, 0, 16, 17, 11, 22, 8, 7, 5, 14, 2, 1, 14, None, 20, 15, 15, 29, 6, 12]",4,4,12,4,0.0005271751433610916,3973.8898585580755
"[9, 18, 18, 4, 16, None, 21, 15, 4, 24, 21, 13, 15, 23, 11, 24, 24, 26, 3, 9, 21, 26, 3, 27, 5, 24, 8, 9, 0, 4]","[9, 4, 4, 24, 3, None, 17, 15, 18, 24, 17, 13, 15, 23, 11, 24, 24, 26, 16, 24, 17, 26, 3, 27, 5, 9, 8, 9, 0, 18]",4,4,21,4,0.0004665318410843611,4019.0959610641003
"[4, 19, 8, 21, 16, 27, 28, 27, 4, 17, 29, 22, 14, 20, 5, 17, None, 1, 6, 18, 26, 23, 24, 9, 26, 5, 16, 16, 11, 16]","[4, 19, 8, 5, 16, 27, 28, 21, 4, 17, 29, 22, 26, 20, 5, 17, None, 1, 6, 18, 26, 23, 24, 9, 26, 27, 16, 16, 11, 16]",4,4,11,3,0.0005471729673445225,6.747436648001894
"[21, 28, 14, None, 27, 14, 10, 21, 17, 19, 3, 6, 11, 25, 17, 6, 9, 28, 2, 4, 6, 1, 13, 21, 2, 9, 20, 15, 12, 5]","[19, 28, 14, None, 27, 14, 8, 21, 3, 19, 20, 6, 11, 25, 17, 6, 23, 28, 2, 4, 6, 1, 13, 21, 2, 9, 17, 15, 12, 5]",4,4,16,4,0.0005511199124157429,3966.760778700933
"[27, 17, 13, 8, 29, 15, 18, None, 25, 15, 4, 6, 14, 21, 7, 12, 21, 6, 22, 17, 13, 8, 13, 22, 12, 14, 2, 15, 29, 21]","[27, 17, 13, 8, 25, 15, 18, None, 25, 15, 4, 6, 14, 21, 7, 12, 21, 2, 22, 17, 13, 8, 13, 22, 29, 14, 2, 29, 29, 21]",4,4,16,4,0.0005000848323106766,3929.2241524588317
