t1,t2,d,k,approximation,fpt,approximation_time,fpt_time
"[13, 8, 5, 2, 15, 19, 1, 5, 2, 12, 11, 5, None, 14, 11, 14, 9, 2, 7, 9]","[13, 8, 12, 13, 15, None, 1, 12, 2, 5, 11, 12, 19, 14, 11, 14, 9, 2, 7, 9]",3,3,9,3,0.0003696510102599859,0.008567044045776129
"[17, 11, 3, 8, 5, 18, 9, 11, 11, None, 4, 6, 17, 4, 9, 2, 5, 15, 7, 17]","[15, 11, 17, 15, 5, 18, 9, 11, 11, None, 4, 6, 3, 4, 9, 2, 5, 8, 7, 3]",3,3,7,3,0.00036438112147152424,0.00811188411898911
"[16, 0, 6, 7, 17, 11, 17, 18, 4, 0, 3, 6, 2, 10, 8, 1, 19, None, 14, 8]","[16, 0, 6, None, 11, 11, 3, 18, 4, 0, 17, 6, 2, 10, 8, 1, 19, 7, 14, 8]",3,3,7,3,0.0003873740788549185,0.008144143037497997
"[None, 8, 14, 8, 8, 9, 2, 12, 0, 10, 2, 0, 5, 11, 1, 16, 5, 11, 5, 3]","[None, 8, 14, 16, 8, 9, 2, 12, 0, 10, 2, 0, 15, 11, 1, 8, 5, 11, 5, 15]",3,3,9,3,0.00034229992888867855,0.007704230956733227
"[None, 18, 0, 6, 3, 10, 14, 16, 3, 7, 1, 17, 16, 2, 13, 14, 8, 12, 11, 5]","[None, 14, 0, 6, 3, 10, 14, 16, 2, 7, 15, 17, 16, 2, 13, 18, 8, 12, 11, 5]",3,3,9,3,0.00038560107350349426,0.007826339919120073
"[2, 4, 7, 2, 13, 0, 19, None, 1, 6, 2, 8, 13, 19, 10, 9, 9, 0, 2, 2]","[2, 4, 7, 2, 13, 0, 14, None, 1, 6, 2, 8, 13, 14, 2, 9, 9, 0, 2, 2]",3,3,6,3,0.00033857300877571106,0.00788923678919673
"[10, 17, 12, 17, 9, 15, 1, 0, 9, 1, 3, 4, 5, 1, 0, None, 7, 2, 12, 17]","[10, 17, 12, 17, 9, 15, 4, 17, 9, 1, 3, 1, 5, 1, 0, None, 7, 2, 12, 17]",3,3,8,3,0.0003326109144836664,0.00780316605232656
"[17, 10, 5, 8, 13, 8, 0, 3, 11, 18, 7, 17, 2, 15, 17, 18, None, 13, 16, 18]","[18, 10, 5, 8, 13, 8, 15, 3, 11, 18, 7, 17, 2, 0, 0, 17, None, 13, 16, 18]",3,3,9,3,0.00036224699579179287,0.007966761942952871
"[12, 3, 7, 13, 6, 7, 14, 10, 11, 11, 9, 15, None, 10, 3, 0, 9, 16, 6, 5]","[12, 11, 7, 13, 16, 7, 14, 10, 11, 3, 1, 15, None, 10, 3, 0, 1, 16, 6, 5]",3,3,12,3,0.00035592494532465935,0.007852899143472314
"[11, 2, 16, 14, 9, 8, 10, 1, 1, 12, 4, 4, 8, 15, 6, 12, None, 14, 10, 18]","[11, 2, 3, None, 9, 7, 10, 1, 1, 12, 4, 4, 8, 15, 6, 12, 14, 14, 10, 18]",3,3,6,3,0.0003849698696285486,0.007880010176450014
"[2, 2, 9, 15, 18, 8, 2, 11, 7, None, 8, 19, 11, 16, 2, 13, 12, 6, 3, 0]","[17, 2, 9, 2, 18, 8, 2, 11, 7, None, 8, 19, 11, 16, 2, 13, 12, 6, 0, 3]",3,3,6,3,0.00036904006265103817,0.007940141949802637
"[2, 5, 17, 15, 11, 16, 14, 9, 10, 0, 9, 7, 9, 1, 15, None, 3, 16, 16, 2]","[2, 5, 17, 13, 11, 16, 14, 9, 2, 0, 9, 7, 9, None, 13, 1, 3, 16, 16, 2]",3,3,7,3,0.00034433300606906414,0.008055037120357156
"[13, None, 3, 12, 7, 3, 15, 6, 13, 18, 12, 5, 18, 19, 1, 19, 10, 4, 14, 2]","[17, None, 3, 12, 10, 3, 15, 6, 17, 18, 12, 5, 18, 4, 1, 19, 10, 19, 14, 2]",3,3,10,3,0.0003777570091187954,0.00813321303576231
"[4, 13, 6, 6, 13, 11, 17, 4, 16, 2, 9, 12, None, 11, 7, 6, 17, 14, 14, 11]","[4, 13, 11, 11, 13, 6, 12, 4, 16, 2, 9, 17, None, 6, 1, 11, 17, 14, 14, 6]",3,3,14,3,0.00038156285881996155,0.01100601302459836
"[3, 19, 4, 14, 13, 7, 12, 15, 14, 4, 18, 2, None, 3, 7, 12, 2, 4, 11, 16]","[3, 2, 4, 14, 8, 7, 12, 15, 14, 4, 18, 19, None, 3, 7, 12, 2, 4, 1, 16]",3,3,12,3,0.0003616360481828451,0.007818896090611815
"[3, 2, 18, 8, 14, 18, 19, 12, 2, 17, 17, 2, 19, 0, 2, 19, None, 16, 15, 17]","[3, 7, 12, 8, 14, 19, 19, 18, 7, 17, 17, 7, 19, 0, 7, 19, None, 16, 15, 17]",3,3,11,3,0.00033996603451669216,0.008476734859868884
"[16, 13, 18, 5, 16, 13, 0, 3, 10, 0, 5, 16, 14, 6, 9, 13, None, 16, 17, 15]","[16, 13, 18, 5, 16, 13, 0, 3, 10, 0, 5, 15, 14, 6, 9, 13, None, 16, 9, 16]",3,3,8,3,0.0003268010914325714,0.007666260004043579
"[17, 15, 18, 12, 19, 7, 12, 19, 12, 19, 16, 17, 4, 17, 12, 10, 14, 5, 15, None]","[10, 15, 14, 12, 19, 7, 12, 19, 12, 19, 2, 17, 4, 17, 12, 10, 18, 5, 15, None]",3,3,10,3,0.0003350661136209965,0.007722525857388973
"[6, None, 1, 12, 18, 19, 12, 17, 6, 19, 6, 8, 9, 11, 11, 8, 2, 2, 14, 2]","[6, None, 1, 12, 18, 19, 12, 8, 6, 19, 6, 8, 9, 11, 16, 17, 2, 2, 14, 2]",3,3,10,3,0.00032964604906737804,0.0074182969983667135
"[19, 9, 16, None, 5, 3, 16, 6, 7, 2, 14, 13, 19, 3, 2, 1, 13, 2, 0, 6]","[19, 9, 16, None, 5, 3, 16, 6, 7, 2, 14, 12, 3, 19, 2, 17, 12, 2, 0, 6]",3,3,10,3,0.00037753605283796787,0.00805507693439722
"[17, 13, 11, 0, 13, 11, 13, 18, 6, 1, 12, 17, 11, None, 13, 4, 3, 6, 12, 18]","[17, 13, 8, 0, 6, 11, 13, 18, 13, 1, 12, 17, 11, None, 13, 8, 3, 6, 12, 18]",3,3,11,3,0.000329416012391448,0.007835316006094217
"[7, 0, 13, 2, 16, 18, 3, 18, 1, 16, 7, 15, 0, None, 3, 12, 14, 12, 14, 13]","[7, 0, 13, 2, 16, 18, 3, 18, 1, 16, 7, 17, 0, None, 3, 12, 14, 12, 14, 13]",3,3,3,1,0.0003339741379022598,8.635921403765678e-06
"[10, 2, 16, 0, 17, 13, 16, 10, 19, 8, 6, 5, 13, 6, 19, 10, None, 15, 2, 4]","[10, 2, 16, 0, 17, 13, 16, 10, 19, 8, 11, 5, 13, 6, 19, 10, None, 15, 2, 4]",3,3,4,1,0.0003386030439287424,8.326023817062378e-06
"[4, 4, 3, 15, 6, 0, None, 19, 7, 10, 12, 18, 0, 3, 2, 1, 18, 14, 0, 11]","[4, 4, 3, 16, 6, 0, None, 19, 7, 10, 12, 18, 0, 3, 2, 8, 1, 14, 0, 11]",3,3,3,3,0.00038121198303997517,0.007893736008554697
"[10, 14, 0, 12, 2, 9, 9, 6, 11, 3, 13, 4, 18, None, 8, 6, 5, 13, 19, 10]","[10, 16, 0, None, 2, 9, 9, 6, 11, 13, 3, 4, 18, 12, 8, 6, 5, 3, 19, 10]",3,3,7,3,0.00037495093420147896,0.008160252822563052
"[7, 15, 1, 12, 6, 10, 3, 18, 18, 18, 0, 18, 14, 11, 18, 7, 9, 12, None, 8]","[7, 15, 1, 18, 6, 10, 13, 18, 18, 18, 0, 18, 3, 11, 12, 7, 9, 12, None, 8]",3,3,7,3,0.00034519610926508904,0.007779261097311974
"[1, 7, 5, 15, 12, 13, None, 19, 4, 1, 17, 15, 6, 4, 7, 18, 17, 0, 12, 15]","[1, 7, 5, 15, 19, 13, None, 4, 4, 1, 17, 15, 15, 4, 7, 18, 17, 0, 19, 6]",3,3,8,3,0.00034148781560361385,0.008116752142086625
"[14, 0, 11, 1, 8, 7, 15, 8, 13, 13, 7, 18, 8, 6, 16, 17, None, 3, 16, 13]","[14, 0, 5, 1, 8, 7, 15, 8, 10, 10, 6, 18, 8, 7, 16, 17, None, 3, 16, 10]",3,3,8,3,0.00036565307527780533,0.00821120897307992
"[11, 14, 1, 13, 8, 17, 9, 19, 15, 11, 0, 7, 8, 6, 16, 7, 0, 18, 0, None]","[19, 14, 1, 13, 8, 17, 9, 11, 15, 11, 7, 0, 8, 6, 16, 0, 7, 4, 7, None]",3,3,8,3,0.0004056480247527361,0.008538039866834879
"[10, 17, 10, 19, 14, 10, 17, 13, None, 15, 13, 5, 14, 9, 3, 8, 3, 11, 1, 15]","[15, 17, 10, 0, 14, 10, 17, 13, None, 15, 13, 5, 15, 9, 3, 8, 3, 11, 1, 10]",3,3,11,3,0.0003555349539965391,0.007634159876033664
"[19, 13, 7, 13, 11, 4, 15, 18, 0, 4, 18, 3, 7, 16, 5, 0, None, 2, 13, 3]","[19, 6, 7, 13, 17, 4, 15, 18, 0, 4, 18, 2, 7, 16, 5, 0, None, 3, 13, 3]",3,3,7,3,0.00036036386154592037,0.008001075824722648
"[7, 7, 16, 0, 9, 0, 15, None, 19, 16, 11, 15, 1, 1, 11, 13, 0, 12, 12, 18]","[7, 7, 16, 0, 11, 0, 15, None, 19, 15, 9, 16, 3, 1, 9, 13, 0, 12, 12, 18]",3,3,10,3,0.00035311002284288406,0.008438403951004148
"[4, 2, None, 7, 6, 9, 1, 10, 0, 12, 2, 7, 8, 9, 9, 11, 9, 0, 9, 4]","[4, 10, None, 19, 6, 9, 7, 2, 0, 12, 2, 1, 8, 9, 9, 11, 9, 0, 9, 4]",3,3,8,3,0.00033027702011168003,0.007971942191943526
"[16, 15, 5, 10, 14, 4, 17, 10, 4, 4, 16, 9, 1, 19, None, 14, 15, 0, 19, 0]","[16, 15, 19, 10, 14, 4, 17, 10, 4, 4, 16, 9, 2, 5, None, 14, 15, 0, 19, 0]",3,3,8,3,0.0003144580405205488,0.0074094608426094055
"[6, None, 18, 6, 13, 13, 10, 8, 19, 8, 14, 15, 17, 14, 16, 10, 1, 5, 5, 14]","[6, None, 14, 6, 14, 14, 10, 8, 19, 8, 13, 15, 17, 16, 13, 10, 1, 5, 5, 13]",3,3,11,3,0.00038112211041152477,0.008481062948703766
"[None, 7, 1, 1, 12, 7, 1, 8, 0, 6, 7, 17, 7, 7, 3, 3, 6, 9, 13, 9]","[None, 7, 1, 6, 12, 7, 1, 8, 0, 6, 7, 17, 7, 7, 16, 16, 11, 9, 13, 9]",3,3,9,3,0.00034482497721910477,0.007891190005466342
"[15, 18, 15, 18, 5, 1, 15, 3, 17, 4, 17, 17, 1, 18, 9, 1, 17, None, 8, 15]","[15, 2, 8, 2, 5, 1, 15, 3, 17, 12, 17, 17, 1, 2, 9, 1, 17, None, 15, 15]",3,3,10,3,0.00032604997977614403,0.00823917193338275
"[8, 19, 1, None, 8, 4, 7, 13, 3, 12, 4, 18, 10, 12, 8, 11, 11, 0, 14, 5]","[8, 19, 1, None, 8, 4, 7, 18, 3, 12, 4, 6, 10, 14, 8, 11, 11, 0, 12, 5]",3,3,6,3,0.0003609340637922287,0.007817453006282449
"[10, 8, 14, 7, 17, 1, 9, 15, 17, None, 9, 17, 3, 3, 6, 5, 9, 6, 3, 3]","[10, 11, 14, 7, 17, 1, 9, 15, 3, None, 9, 17, 17, 3, 6, 5, 9, 6, 3, 3]",3,3,10,3,0.0003292560577392578,0.007493727840483189
"[10, 0, None, 6, 9, 4, 2, 6, 11, 3, 9, 4, 19, 7, 19, 17, 17, 19, 11, 5]","[10, 0, None, 6, 9, 4, 2, 6, 3, 3, 9, 19, 19, 7, 4, 17, 17, 19, 14, 5]",3,3,12,3,0.0003553240094333887,0.007720371009781957
"[15, 6, 13, 5, 14, 15, 14, 15, 4, 0, 7, 17, 5, 10, 12, None, 3, 9, 4, 13]","[6, 15, 13, 5, 14, 15, 14, 15, 4, 1, 18, 17, 5, 10, 12, None, 3, 9, 4, 13]",3,3,10,3,0.00037486106157302856,0.007824796950444579
"[6, 19, 14, 8, 1, 16, 1, 14, 0, 14, 9, 3, 10, 14, None, 0, 10, 11, 15, 12]","[6, 19, 14, 8, 15, 16, 1, 14, 0, 14, 9, 5, 10, 14, None, 0, 10, 11, 1, 12]",3,3,7,3,0.00031778402626514435,0.007513363845646381
"[15, 8, 14, 5, 19, 6, 13, 15, 18, 3, 2, 3, 9, None, 8, 18, 8, 15, 9, 14]","[15, 8, 8, 5, 19, 6, 13, 15, 18, 3, 14, 3, 9, None, 2, 18, 8, 15, 9, 2]",3,3,7,2,0.0003620060160756111,0.0005598659627139568
"[7, 16, 6, 15, 3, 4, 13, 10, 17, 16, 14, 7, 8, 17, None, 13, 7, 7, 12, 17]","[12, 16, 15, 6, 3, 4, 13, 10, 17, 16, 14, 7, 8, 17, None, 13, 7, 7, 12, 17]",3,3,8,3,0.00034069688990712166,0.007836798904463649
"[3, 9, 4, 7, 6, 16, 18, 4, 6, 19, 12, 3, None, 9, 10, 0, 17, 9, 14, 7]","[3, 9, 7, 7, 6, 16, 18, 4, 6, 2, 12, 3, None, 9, 10, 0, 17, 9, 14, 4]",3,3,7,2,0.00036361883394420147,0.0005818079225718975
"[15, 0, 1, 9, 0, 10, 16, 10, 15, 7, 8, 10, 10, 4, 3, 16, None, 18, 16, 2]","[15, 0, 1, 2, 0, 10, 16, 10, 15, 7, 8, 10, 10, 4, 19, 16, None, 18, 16, 10]",3,3,6,3,0.0003208201378583908,0.007676949957385659
"[3, 8, 12, 9, 0, 14, 1, 5, 14, 18, 16, 2, 17, 14, 16, 0, None, 1, 13, 15]","[3, 8, 12, 9, 0, 14, 1, 5, 14, 18, None, 2, 17, 2, 10, 0, 10, 1, 13, 15]",3,3,4,3,0.0003788280300796032,0.008087506983429193
"[5, 2, 6, 4, 12, 7, 3, None, 0, 6, 1, 0, 5, 1, 2, 0, 19, 6, 9, 12]","[5, 9, None, 4, 12, 2, 3, 6, 0, 6, 1, 0, 5, 1, 7, 0, 19, 6, 9, 12]",3,3,8,3,0.0003384118899703026,0.007975459098815918
"[5, 0, 11, 4, 9, None, 11, 11, 2, 0, 2, 4, 10, 15, 3, 7, 18, 16, 10, 12]","[5, 0, 15, 4, 9, None, 11, 11, 13, 0, 13, 4, 10, 11, 3, 7, 18, 16, 10, 12]",3,3,8,2,0.0003803209401667118,0.0005543259903788567
"[10, 7, 6, 13, 5, 17, 8, 3, 5, 1, 16, 17, 3, 19, 6, 8, 8, 3, 6, None]","[10, 7, 6, 5, 9, 17, 3, 8, 13, 1, 16, 17, 8, 19, 6, 3, 3, 8, 6, None]",3,3,13,3,0.0003555340226739645,0.008718025870621204
"[1, 8, 10, None, 3, 1, 16, 12, 6, 15, 16, 7, 5, 4, 6, 13, 18, 0, 9, 15]","[1, 8, 10, None, 3, 1, 13, 15, 6, 12, 16, 7, 13, 4, 6, 5, 18, 0, 9, 12]",3,3,8,3,0.0003681078087538481,0.008257234934717417
"[13, 12, 13, 6, 6, 12, None, 19, 11, 7, 2, 12, 2, 4, 18, 16, 18, 18, 10, 6]","[12, 12, 9, 6, 6, 13, None, 19, 11, 7, 2, 12, 2, 4, 18, 16, 18, 18, 10, 6]",3,3,8,3,0.00033339299261569977,0.0075635178945958614
"[14, 14, 4, 1, 15, 18, 16, 17, 19, 4, 13, 3, 0, 1, 9, 8, 11, None, 6, 7]","[14, 18, 4, 5, 15, 14, 2, 17, 19, 4, 13, 3, 0, 5, 9, 8, 11, None, 6, 7]",3,3,11,3,0.00039161182940006256,0.008421251783147454
"[3, 17, 3, None, 5, 0, 15, 9, 11, 2, 7, 9, 3, 10, 0, 17, 4, 8, 12, 4]","[3, 0, 3, None, 5, 0, 15, 9, 11, 2, 7, 9, 3, 10, 17, 17, 4, 8, 12, 4]",3,3,2,2,0.0003622670192271471,8.985865861177444e-06
"[None, 7, 5, 4, 10, 16, 16, 10, 19, 10, 0, 4, 8, 11, 11, 1, 18, 8, 1, 2]","[None, 7, 5, 4, 10, 16, 16, 10, 19, 6, 0, 4, 11, 11, 8, 1, 18, 8, 1, 2]",3,3,10,3,0.0003319599200040102,0.007365687983110547
