t1,t2,d,k,approximation,fpt,approximation_time,fpt_time
"[12, 3, 24, 24, 0, 8, 24, 17, 7, 10, 25, 12, 8, 0, 27, 22, 18, None, 11, 1, 26, 15, 24, 2, 11, 18, 8, 17, 19, 26]","[12, 7, 24, 17, 10, 8, 24, 24, 3, 10, 25, 12, 8, 0, 27, 22, 18, None, 11, 1, 26, 15, 24, 2, 11, 18, 8, 17, 19, 26]",3,3,7,3,0.0005737522151321173,0.02288065105676651
"[25, 16, 0, 23, 8, 28, 2, 21, None, 29, 25, 24, 0, 21, 20, 4, 26, 6, 3, 10, 1, 22, 4, 0, 21, 27, 21, 4, 21, 24]","[21, 16, 13, 23, 8, 28, 2, 21, None, 29, 25, 24, 13, 25, 20, 4, 26, 6, 3, 10, 1, 22, 4, 13, 21, 27, 21, 4, 21, 10]",3,3,10,3,0.000586025882512331,0.02242647111415863
"[None, 18, 25, 17, 12, 3, 19, 16, 13, 25, 26, 6, 23, 14, 9, 9, 15, 0, 27, 17, 7, 11, 28, 17, 7, 17, 17, 7, 17, 27]","[None, 18, 25, 17, 12, 3, 19, 27, 7, 25, 26, 6, 23, 16, 9, 9, 15, 0, 27, 17, 13, 11, 28, 17, 13, 17, 17, 13, 17, 27]",3,3,8,3,0.0005898128729313612,0.02277052402496338
"[13, 24, 5, 17, 8, 10, 1, 25, 27, 7, 29, 4, 23, 10, 15, 18, 18, 26, 0, 24, 5, 17, 13, 11, 23, 23, 10, None, 19, 4]","[7, 24, 5, 17, 8, 10, 1, 10, 27, 27, 29, 4, 23, 25, 15, 18, 18, 26, 0, 24, 5, 17, 7, 11, 23, 23, 10, None, 19, 4]",3,3,7,3,0.0005826889537274837,0.022861724020913243
"[19, 12, 21, 6, 3, 0, 7, 15, 0, 20, 26, 17, 20, 6, 3, 20, 29, 24, 6, 23, None, 6, 18, 21, 21, 7, 19, 22, 10, 2]","[3, 12, 21, 6, 3, 14, 7, 15, 14, 20, 26, 17, 20, 6, 19, 20, 29, 24, 24, 23, None, 6, 18, 21, 21, 7, 19, 22, 10, 2]",3,3,13,3,0.0005739529151469469,0.022531588096171618
"[10, 24, 5, 12, 16, 9, 19, 26, 27, 27, 6, 17, 22, 1, 5, 8, 5, 7, 3, 13, 28, 18, 20, 12, 16, 16, 2, None, 8, 2]","[10, 24, 5, 12, 6, 22, 19, 26, 27, 20, 6, 17, 9, 1, 5, 8, 5, 7, 3, 13, 28, 18, 27, 12, 16, 16, 2, None, 8, 2]",3,3,10,3,0.0006161720957607031,0.022335360990837216
"[23, 29, 0, 15, 18, 6, 29, 20, 19, 0, 21, 7, 11, 21, 27, 11, 6, 24, 26, 16, 28, 7, 21, 1, 11, 23, 5, 2, 16, None]","[23, 29, 0, 15, 28, 6, 29, 4, 19, 0, 21, 7, 11, 21, 27, 11, 6, 24, 26, 16, 18, 7, 21, 1, 6, 23, 5, 2, 16, None]",3,3,12,3,0.0005688129458576441,0.02197239315137267
"[10, 19, 10, None, 25, 17, 0, 23, 3, 14, 27, 10, 25, 18, 15, 26, 27, 25, 29, 9, 10, 27, 1, 3, 28, 2, 21, 8, 2, 23]","[10, 19, 10, None, 25, 17, 0, 23, 3, 14, 27, 10, 5, 18, 15, 26, 27, 25, 29, 9, 10, 25, 1, 3, 28, 2, 12, 8, 2, 23]",3,3,8,3,0.0005752150900661945,0.02195616182871163
"[9, None, 7, 12, 21, 6, 3, 6, 19, 18, 1, 18, 10, 18, 4, 5, 5, 14, 29, 16, 24, 11, 14, 10, 8, 6, 18, 7, 8, 7]","[9, None, 7, 12, 18, 6, 3, 6, 19, 18, 1, 18, 10, 18, 5, 5, 5, 14, 29, 16, 24, 11, 14, 10, 8, 6, 21, 7, 8, 7]",3,3,8,3,0.0005146621260792017,0.02088099322281778
"[20, 29, 23, 29, 27, 20, 16, 28, 14, None, 26, 21, 29, 28, 2, 22, 1, 29, 7, 28, 16, 10, 19, 17, 9, 8, 25, 9, 4, 28]","[20, 9, 23, 29, 27, 20, 16, 28, 27, None, 26, 21, 29, 28, 2, 22, 24, 29, 7, 28, 16, 10, 19, 17, 29, 8, 25, 9, 4, 28]",3,3,9,3,0.0005868361331522465,0.02311986801214516
